Issue Key,Summary,Description,Issue Type,Priority,Story Points,Sprint,Epic Name,Labels,Status
CT-001,"Como dev, quero o monorepo criado com apps e packages para começar a codar sem discutir estrutura","Historia: Como dev, quero o monorepo criado com apps e packages para começar a codar sem discutir estrutura

Criterios de aceite: npm workspaces; apps `api`, `worker`, `web`; packages `db`, `shared`, `evo`, `whatsapp`, `ai`; lint e format configurados; build passa",Story,Highest,3,Sprint 0,E0 Plataforma e Fundação,E0 must,To Do
CT-002,"Como dev, quero Postgres provisionado no Railway com migrations versionadas","Historia: Como dev, quero Postgres provisionado no Railway com migrations versionadas

Criterios de aceite: serviço Postgres no Railway; Prisma conectado; `migrate dev` e `migrate deploy` funcionando; `.env.example` completo",Story,Highest,3,Sprint 0,E0 Plataforma e Fundação,E0 must,To Do
CT-003,"Como dev, quero deploy automático dos 4 serviços no Railway a partir da `main`","Historia: Como dev, quero deploy automático dos 4 serviços no Railway a partir da `main`

Criterios de aceite: push na `main` sobe `api`, `worker` e `web`; healthcheck em `/health`; variáveis separadas por ambiente",Story,Highest,5,Sprint 0,E0 Plataforma e Fundação,E0 must,To Do
CT-004,"Como dev, quero fila e cron rodando no worker","Historia: Como dev, quero fila e cron rodando no worker

Criterios de aceite: pg-boss instalado; um job de teste enfileirado e processado; um cron de teste executando; retry com backoff exponencial configurado",Story,Highest,5,Sprint 0,E0 Plataforma e Fundação,E0 must,To Do
CT-005,"Como dev, quero logs estruturados e captura de erro","Historia: Como dev, quero logs estruturados e captura de erro

Criterios de aceite: pino com correlationId por requisição e por job; Sentry recebendo exceções de api e worker",Story,High,2,Sprint 0,E0 Plataforma e Fundação,E0,To Do
CT-006,"Como ADM, quero login com papéis para que cada função veja só o que lhe cabe","Historia: Como ADM, quero login com papéis para que cada função veja só o que lhe cabe

Criterios de aceite: papéis `adm`, `gerente`, `professor`, `atendente`; guard de rota na API e no painel; ADM enxerga tudo",Story,Highest,5,Sprint 1,E0 Plataforma e Fundação,E0 must,To Do
CT-007,"Como responsável pelo dado, quero a política de privacidade e as bases legais escritas antes do primeiro disparo","Historia: Como responsável pelo dado, quero a política de privacidade e as bases legais escritas antes do primeiro disparo

Criterios de aceite: documento com finalidade, base legal e prazo de retenção por tipo de dado; texto de consentimento aprovado pelo dono",Story,Highest,3,Sprint 0,E0 Plataforma e Fundação,E0 must,To Do
CT-010,"Como dev, quero validar acesso, escopo e rate limit da API do EVO antes de planejar o resto","Historia: Como dev, quero validar acesso, escopo e rate limit da API do EVO antes de planejar o resto

Criterios de aceite: token emitido; chamada real a `/api/v1/members` retornando dados; rate limit documentado; confirmado se catraca vem por consulta ou só por webhook",Story,Highest,2,Sprint 0,E1 Integração com o EVO,E1 must,To Do
CT-011,"Como sistema, quero um client tipado do EVO com retry e tratamento de rate limit","Historia: Como sistema, quero um client tipado do EVO com retry e tratamento de rate limit

Criterios de aceite: package `evo` com métodos tipados; backoff em 429; timeouts; logs de consumo por endpoint",Story,Highest,5,Sprint 1,E1 Integração com o EVO,E1 must,To Do
CT-012,"Como sistema, quero sincronizar a base de membros do EVO todo dia","Historia: Como sistema, quero sincronizar a base de membros do EVO todo dia

Criterios de aceite: cron diário + gatilho manual; upsert por `id_evo`; guarda `sincronizado_em` e payload bruto; relatório de quantos criados, atualizados e com erro",Story,Highest,5,Sprint 1,E1 Integração com o EVO,E1 must,To Do
